臺灣證券交易所銳聯臺灣就業創造99指數(EMP 99)次日開盤成分股檔
EMP 99 Open Constituents
2018/11/16

成分股股票代號,ISIN Code,成分股中文名稱,成分股英文名稱,產業類別,員工人數,次日開盤競價基準,發行股數 (單位：仟股),係數調整前市值 (仟元),係數,係數調整後市值 (仟元),成分股權重
Local Code,ISIN Code,Constituents Name (Chinese),Constituents Name (English),Sector Code,Number of employees,Opening Auction Reference Price,Number of Shares in Issue(Unit:1000 Shares),Market Cap. before EMP Factor(Unit: NT$Thousands),Employment Creation Factor(EMP Factor),Market Cap. after EMP Factor(Unit: NT$Thousands),% Weight in EMP 99
2408,TW0002408002,南亞科          ,NANYA TECHNOLOGY CORPORATION,24,002913,0055.90,000003101419,000000000173369322,000.11768602,000000000020403146,00.3121%
2409,TW0002409000,友達            ,AU OPTRONICS CORP.,26,021151,0012.60,000009624245,000000000121265487,001.71693662,000000000208205155,03.1850%
2412,TW0002412004,中華電          ,CHUNGHWA TELECOM CO.  LTD,27,022460,0107.00,000007757446,000000000830046722,000.25966661,000000000215535418,03.2971%
2430,TW0002430006,燦坤            ,TSANN KUEN ENTERPRISE CO. LTD,29,001968,0019.30,000000167463,000000000003232036,005.06545244,000000000016371724,00.2504%
2441,TW0002441003,超豐            ,GREATEK ELECTRONTCS INC.,24,002776,0041.10,000000568845,000000000023379530,000.90204509,000000000021089390,00.3226%
2449,TW0002449006,京元電子        ,KING YUAN ELECTRONICS CO.  LTD.,24,004266,0020.70,000001222745,000000000025310822,001.26637798,000000000032053067,00.4903%
2454,TW0002454006,聯發科          ,MEDIA TEK INC.,24,006329,0231.50,000001591519,000000000368436649,000.13448155,000000000049547932,00.7580%
2474,TW0002474004,可成            ,CATCHER TECHNOLOGY CO.  LTD.,31,002400,0249.00,000000770391,000000000191827359,000.09109067,000000000017473683,00.2673%
2610,TW0002610003,華航            ,CHINA AIRLINES LTD.,15,010876,0010.25,000005470984,000000000056077586,002.12160320,000000000118974386,01.8200%
2618,TW0002618006,長榮航          ,EVA AIRWAYS CORPORATION,15,008872,0014.80,000004382121,000000000064855391,001.44613583,000000000093789704,01.4347%
2633,TW0002633005,台灣高鐵        ,TAIWAN HIGH SPEED RAIL CORPORATION,15,004396,0031.90,000002628293,000000000083842547,000.69545466,000000000058308690,00.8920%
2634,TW0002634003,漢翔            ,AEROSPACE INDUSTRIAL DEVELOPMENT CORPORATION,15,004980,0028.20,000000941867,000000000026560649,001.70835887,000000000045375121,00.6941%
2642,TW0002642006,宅配通          ,TAIWAN PELICAN EXPRESS CO. LTD.,15,002040,0021.55,000000095467,000000000002057314,008.70413053,000000000017907128,00.2739%
2707,TW0002707007,晶華            ,FORMOSA INTERNATIONAL HOTELS CORPORATION,16,001808,0140.50,000000126745,000000000017807673,000.95737332,000000000017048591,00.2608%
2727,TW0002727005,王品            ,WOWPRIME CORP.,16,003820,0081.90,000000076987,000000000006305235,005.67071620,000000000035755200,00.5470%
2731,TW0002731007,雄獅            ,LION TRAVEL SERVICE CO. LTD.,16,002560,0081.20,000000070000,000000000005684000,003.35517693,000000000019070826,00.2917%
2801,TW0002801008,彰銀            ,CHANG HWA COMMERCIAL BANK  LTD.,17,006457,0017.95,000009789520,000000000175721884,000.39198069,000000000068879585,01.0537%
2812,TW0002812005,台中銀          ,TAICHUNG COMMERCIAL BANK CO.  LTD.,17,002220,0010.25,000003525508,000000000036136457,000.65448627,000000000023650815,00.3618%
2823,TW0002823002,中壽            ,CHINA LIFE INSURANCE COMPANY  LTD.,17,005585,0029.95,000004013582,000000000120206781,000.46530492,000000000055932807,00.8556%
2834,TW0002834009,臺企銀          ,TAIWAN BUSINESS BANK,17,004957,0010.75,000006393880,000000000068734210,000.85957737,000000000059082371,00.9038%
2845,TW0002845005,遠東銀          ,FAR EASTERN INTERNATIONAL BANK,17,002460,0010.25,000003269185,000000000033509146,000.77287327,000000000025898323,00.3962%
2867,TW0002867009,三商壽          ,MERCURIES LIFE INSURANCE CO.  LTD.,17,008194,0013.65,000002221971,000000000030329904,002.63375822,000000000079881634,01.2220%
2880,TW0002880002,華南金          ,HUA NAN FINANCIAL HOLDINDS CO.  LTD.,17,009861,0017.70,000011543613,000000000204321950,000.50720420,000000000103632951,01.5853%
2881,TW0002881000,富邦金          ,FUBON FINANCIAL HOLDING CO.  LTD.,17,034137,0051.10,000010233603,000000000522937113,000.66715505,000000000348880136,05.3370%
2882,TW0002882008,國泰金          ,CATHAY FINANCIAL HOLDINGS CO.  LTD.,17,042877,0050.80,000012563210,000000000638211068,000.65759183,000000000419682384,06.4200%
2883,TW0002883006,開發金          ,CHINA DEVELOPMENT FINANCIAL HOLDING CORPORATION,17,008087,0010.05,000014957294,000000000150320805,000.47427426,000000000071293288,01.0906%
2884,TW0002884004,玉山金          ,E.SUN FINANCIAL HOLDING COMPANYLTD.,17,008560,0021.25,000010828900,000000000230114125,000.40211023,000000000092531244,01.4155%
2885,TW0002885001,元大金          ,YUANTA FINANCIAL HOLDING CO.  LTD.,17,011609,0015.75,000011686232,000000000184058154,000.74971726,000000000137991575,02.1109%
2886,TW0002886009,兆豐金          ,MEGA FINANCIAL HOLDING COMPANY,17,008188,0026.40,000013599823,000000000359035327,000.22719496,000000000081571017,01.2478%
2887,TW0002887007,台新金          ,TAISHIN FINANCIAL HOLDING COMPANY LTD.,17,008311,0013.80,000010436207,000000000144019657,000.58181897,000000000083793368,01.2818%
2888,TW0002888005,新光金          ,SHIN KONG FINANCIAL HOLDING CO.  LTD.,17,016593,0010.30,000012185505,000000000125510702,001.41086495,000000000177078650,02.7088%
2890,TW0002890001,永豐金          ,SINOPAC FINANCIAL HOLDINGS COMPANY LIMITED,17,007926,0010.65,000011271054,000000000120036725,000.65505171,000000000078630262,01.2028%
2891,TW0002891009,中信金          ,CHINATRUST FINANCIAL HOLDING CO.  LTD.,17,015660,0020.70,000019496989,000000000403587672,000.36844080,000000000148698165,02.2747%
2892,TW0002892007,第一金          ,FIRST HOLDINGS,17,008592,0020.30,000012338557,000000000250472707,000.34646170,000000000086779200,01.3275%
2905,TW0002905007,三商            ,MERCURIES & ASSOCIATESHOLDING LTD.,18,018768,0019.75,000000826684,000000000016327009,010.13172823,000000000165420818,02.5305%
2912,TW0002912003,統一超          ,PRESIDENT CHAIN STORE CORPORATION,18,004095,0321.00,000001039622,000000000333718662,000.11433763,000000000038156601,00.5837%
3008,TW0003008009,大立光          ,LARGAN PRECISION CO.  LTD.,26,003800,3095.00,000000134140,000000000415163300,000.06365980,000000000026429213,00.4043%
3034,TW0003034005,聯詠            ,NOVATEK MICROELECTRONICS CORP.,24,002028,0129.00,000000608511,000000000078497919,000.24062998,000000000018888953,00.2890%
3037,TW0003037008,欣興            ,UNIMICRON TECHNOLOGY CORP.,28,008467,0018.70,000001505021,000000000028143893,003.54930959,000000000099891388,01.5281%
3045,TW0003045001,台灣大          ,TAIWAN  MOBILE  CO.  LTD.,27,003884,0110.50,000003420832,000000000378001936,000.10228795,000000000038665043,00.5915%
3189,TW0003189007,景碩            ,KINSUS INTERCONNECT TECHNOLOGY CORP.,24,003636,0041.80,000000450841,000000000018845154,001.61434977,000000000030422670,00.4654%
3231,TW0003231007,緯創            ,WISTRON CORPORATION,25,006689,0019.30,000002845778,000000000054923515,001.08429275,000000000059553170,00.9110%
3481,TW0003481008,群創            ,INNOLUX CORPORATION,26,025844,0010.20,000009952071,000000000101511124,002.38242791,000000000241842935,03.6996%
3702,TW0003702007,大聯大          ,WPG HOLDINGS CO.  LTD.,29,002364,0036.95,000001679056,000000000062041119,000.30123236,000000000018688793,00.2859%
3711,TW0003711008,日月光投控      ,ASE TECHNOLOGY HOLDING CO. LTD.,24,023736,0059.50,000004320148,000000000257048806,000.78521309,000000000201838087,03.0876%
4904,TW0004904008,遠傳            ,FAR EASTONE TELECOMMUNICATIONS CO.  LTD.,27,006385,0073.40,000003258500,000000000239173900,000.24835114,000000000059399111,00.9087%
4938,TW0004938006,和碩            ,PEGATRON CORPORATION,25,006740,0050.30,000002612746,000000000131421124,000.40681331,000000000053463862,00.8179%
5880,TW0005880009,合庫金          ,TAIWAN COOPERATIVE FINANCIAL HOLDING COMPANY LIMITED,17,008678,0017.85,000012568784,000000000224352794,000.40292006,000000000090396241,01.3828%
6005,TW0006005002,群益證          ,CAPITAL SECURITIES CORP.,17,001850,0009.23,000002320908,000000000021421981,000.77890347,000000000016685655,00.2552%
6116,TW0006116007,彩晶            ,HANNSTAR DISPLAY CORP.,26,002439,0007.10,000003233933,000000000022960924,000.84267041,000000000019348491,00.2960%
6239,TW0006239007,力成            ,POWERTECH TECHNOLOGY INC.,24,007745,0069.90,000000779146,000000000054462305,001.17776902,000000000064144016,00.9812%
6285,TW0006285000,啟碁            ,WISTRON NE WEB CORPORATION.,27,002360,0073.90,000000374080,000000000027644512,000.90371172,000000000024982669,00.3822%
6605,TW0006605009,帝寶            ,DEPO AUTO PARTS INDUSTRIAL  CO.  LTD.,05,002380,0069.80,000000165816,000000000011573957,001.81457130,000000000021001770,00.3213%
8110,TW0008110008,華東            ,WALTON ADVANCED ENGINEERING  INC.,24,001986,0010.45,000000482770,000000000005044947,002.85677789,000000000014412292,00.2205%
8131,TW0008131004,福懋科          ,FORMOSA ADVANCED TECHNOLOGIES CO.  LTD.,24,001930,0032.05,000000442222,000000000014173215,001.15611226,000000000016385828,00.2507%
8150,TW0008150004,南茂            ,CHIPMOS TECHNOLOGIES INC,24,003587,0026.90,000000752898,000000000020252956,001.82781921,000000000037018742,00.5663%
9904,TW0009904003,寶成            ,POU CHEN CORPORATION,20,003758,0032.70,000002946787,000000000096359935,000.35974253,000000000034664767,00.5303%
9910,TW0009910000,豐泰            ,FENG TAY ENTERPRISES CO.  LTD.,20,002548,0194.00,000000667940,000000000129580360,000.24932770,000000000032307973,00.4942%
9921,TW0009921007,巨大            ,GIANT MANUFACTURING CO.  LTD.,20,002044,0140.50,000000375064,000000000052696492,000.42576067,000000000022436094,00.3432%
9933,TW0009933002,中鼎            ,CTCI CORPORATION,20,002704,0043.45,000000763273,000000000033164212,000.71496227,000000000023711160,00.3627%
9940,TW0009940007,信義            ,SINYI REALTY INC.,20,003972,0030.10,000000736846,000000000022179065,001.59956763,000000000035476914,00.5427%
