臺灣證券交易所銳聯臺灣就業創造99指數(EMP 99)當日成分股檔
EMP 99 Daily Constituents
2018/11/16
成分股數目,當日收盤指數值,當日收盤報酬指數值
Number of Constituents,Capital Index,Total Return Index
0098,006018.49,007989.84
成分股股票代號,ISIN Code,成分股中文名稱,成分股英文名稱,產業類別,員工人數,當日收盤價,發行股數 (單位：仟股),係數調整前市值 (仟元),調整係數,係數調整後市值 (仟元),成分股權重
Local Code,ISIN Code,Constituents Name (Chinese),Constituents Name (English),Sector Code,Number of employees,Closing Price,Number of Shares in Issue(Unit:1000 Shares),Market Cap. before EMP Factor(Unit: NT$Thousands),Employment Creation Factor(EMP Factor),Market Cap. after EMP Factor(Unit: NT$Thousands),% Weight in EMP 99
2395,TW0002395001,研華            ,ADVANTECH CO.  LTD.,25,002833,0230.50,000000697544,000000000160783892,000.20830252,000000000033491690,00.5114%
2408,TW0002408002,南亞科          ,NANYA TECHNOLOGY CORPORATION,24,002913,0054.60,000003101419,000000000169337477,000.11768602,000000000019928654,00.3043%
2409,TW0002409000,友達            ,AU OPTRONICS CORP.,26,021151,0012.75,000009624245,000000000122709124,001.71693662,000000000210683788,03.2170%
2412,TW0002412004,中華電          ,CHUNGHWA TELECOM CO.  LTD,27,022460,0106.00,000007757446,000000000822289276,000.25966661,000000000213521069,03.2603%
2430,TW0002430006,燦坤            ,TSANN KUEN ENTERPRISE CO. LTD,29,001968,0019.45,000000167463,000000000003257155,005.06545244,000000000016498966,00.2519%
2441,TW0002441003,超豐            ,GREATEK ELECTRONTCS INC.,24,002776,0041.70,000000568845,000000000023720837,000.90204509,000000000021397264,00.3267%
2449,TW0002449006,京元電子        ,KING YUAN ELECTRONICS CO.  LTD.,24,004266,0020.80,000001222745,000000000025433096,001.26637798,000000000032207913,00.4918%
2454,TW0002454006,聯發科          ,MEDIA TEK INC.,24,006329,0220.00,000001591519,000000000350134180,000.13448155,000000000047086587,00.7190%
2474,TW0002474004,可成            ,CATCHER TECHNOLOGY CO.  LTD.,31,002400,0253.00,000000770391,000000000194908923,000.09109067,000000000017754384,00.2711%
2610,TW0002610003,華航            ,CHINA AIRLINES LTD.,15,010876,0010.20,000005470984,000000000055804037,002.12160320,000000000118394023,01.8078%
2618,TW0002618006,長榮航          ,EVA AIRWAYS CORPORATION,15,008872,0014.75,000004382121,000000000064636285,001.44613583,000000000093472847,01.4273%
2633,TW0002633005,台灣高鐵        ,TAIWAN HIGH SPEED RAIL CORPORATION,15,004396,0032.55,000002628293,000000000085550937,000.69545466,000000000059496798,00.9085%
2634,TW0002634003,漢翔            ,AEROSPACE INDUSTRIAL DEVELOPMENT CORPORATION,15,004980,0029.70,000000941867,000000000027973450,001.70835887,000000000047788691,00.7297%
2642,TW0002642006,宅配通          ,TAIWAN PELICAN EXPRESS CO. LTD.,15,002040,0021.50,000000095467,000000000002052541,008.70413053,000000000017865580,00.2728%
2707,TW0002707007,晶華            ,FORMOSA INTERNATIONAL HOTELS CORPORATION,16,001808,0140.00,000000126745,000000000017744300,000.95737332,000000000016987919,00.2594%
2727,TW0002727005,王品            ,WOWPRIME CORP.,16,003820,0082.10,000000076987,000000000006320633,005.67071620,000000000035842514,00.5473%
2731,TW0002731007,雄獅            ,LION TRAVEL SERVICE CO. LTD.,16,002560,0081.00,000000070000,000000000005670000,003.35517693,000000000019023853,00.2905%
2801,TW0002801008,彰銀            ,CHANG HWA COMMERCIAL BANK  LTD.,17,006457,0017.95,000009789520,000000000175721884,000.39198069,000000000068879585,01.0517%
2812,TW0002812005,台中銀          ,TAICHUNG COMMERCIAL BANK CO.  LTD.,17,002220,0010.30,000003525508,000000000036312732,000.65448627,000000000023766185,00.3629%
2823,TW0002823002,中壽            ,CHINA LIFE INSURANCE COMPANY  LTD.,17,005585,0029.90,000004013582,000000000120006102,000.46530492,000000000055839430,00.8526%
2834,TW0002834009,臺企銀          ,TAIWAN BUSINESS BANK,17,004957,0010.70,000006393880,000000000068414516,000.85957737,000000000058807570,00.8979%
2845,TW0002845005,遠東銀          ,FAR EASTERN INTERNATIONAL BANK,17,002460,0010.30,000003269185,000000000033672606,000.77287327,000000000026024657,00.3974%
2867,TW0002867009,三商壽          ,MERCURIES LIFE INSURANCE CO.  LTD.,17,008194,0013.65,000002221971,000000000030329904,002.63375822,000000000079881634,01.2197%
2880,TW0002880002,華南金          ,HUA NAN FINANCIAL HOLDINDS CO.  LTD.,17,009861,0017.80,000011543613,000000000205476311,000.50720420,000000000104218448,01.5913%
2881,TW0002881000,富邦金          ,FUBON FINANCIAL HOLDING CO.  LTD.,17,034137,0051.10,000010233603,000000000522937113,000.66715505,000000000348880136,05.3271%
2882,TW0002882008,國泰金          ,CATHAY FINANCIAL HOLDINGS CO.  LTD.,17,042877,0050.70,000012563210,000000000636954747,000.65759183,000000000418856238,06.3956%
2883,TW0002883006,開發金          ,CHINA DEVELOPMENT FINANCIAL HOLDING CORPORATION,17,008087,0010.10,000014957294,000000000151068669,000.47427426,000000000071647981,01.0940%
2884,TW0002884004,玉山金          ,E.SUN FINANCIAL HOLDING COMPANYLTD.,17,008560,0021.30,000010828900,000000000230655570,000.40211023,000000000092748964,01.4162%
2885,TW0002885001,元大金          ,YUANTA FINANCIAL HOLDING CO.  LTD.,17,011609,0015.75,000011686232,000000000184058154,000.74971726,000000000137991575,02.1070%
2886,TW0002886009,兆豐金          ,MEGA FINANCIAL HOLDING COMPANY,17,008188,0026.50,000013599823,000000000360395310,000.22719496,000000000081879998,01.2502%
2887,TW0002887007,台新金          ,TAISHIN FINANCIAL HOLDING COMPANY LTD.,17,008311,0013.90,000010436207,000000000145063277,000.58181897,000000000084400567,01.2887%
2888,TW0002888005,新光金          ,SHIN KONG FINANCIAL HOLDING CO.  LTD.,17,016593,0010.30,000012185505,000000000125510702,001.41086495,000000000177078650,02.7039%
2890,TW0002890001,永豐金          ,SINOPAC FINANCIAL HOLDINGS COMPANY LIMITED,17,007926,0010.70,000011271054,000000000120600278,000.65505171,000000000078999418,01.2063%
2891,TW0002891009,中信金          ,CHINATRUST FINANCIAL HOLDING CO.  LTD.,17,015660,0021.10,000019496989,000000000411386468,000.36844080,000000000151571559,02.3144%
2892,TW0002892007,第一金          ,FIRST HOLDINGS,17,008592,0020.40,000012338557,000000000251706563,000.34646170,000000000087206684,01.3316%
2905,TW0002905007,三商            ,MERCURIES & ASSOCIATESHOLDING LTD.,18,018768,0019.75,000000826684,000000000016327009,010.13172823,000000000165420818,02.5259%
2912,TW0002912003,統一超          ,PRESIDENT CHAIN STORE CORPORATION,18,004095,0317.00,000001039622,000000000329560174,000.11433763,000000000037681129,00.5754%
3008,TW0003008009,大立光          ,LARGAN PRECISION CO.  LTD.,26,003800,3130.00,000000134140,000000000419858200,000.06365980,000000000026728089,00.4081%
3034,TW0003034005,聯詠            ,NOVATEK MICROELECTRONICS CORP.,24,002028,0129.00,000000608511,000000000078497919,000.24062998,000000000018888953,00.2884%
3037,TW0003037008,欣興            ,UNIMICRON TECHNOLOGY CORP.,28,008467,0019.65,000001505021,000000000029573663,003.54930959,000000000104966084,01.6028%
3045,TW0003045001,台灣大          ,TAIWAN  MOBILE  CO.  LTD.,27,003884,0109.00,000003420832,000000000372870688,000.10228795,000000000038140178,00.5824%
3189,TW0003189007,景碩            ,KINSUS INTERCONNECT TECHNOLOGY CORP.,24,003636,0044.50,000000450841,000000000020062425,001.61434977,000000000032387770,00.4945%
3231,TW0003231007,緯創            ,WISTRON CORPORATION,25,006689,0019.35,000002845778,000000000055065804,001.08429275,000000000059707452,00.9117%
3481,TW0003481008,群創            ,INNOLUX CORPORATION,26,025844,0010.20,000009952071,000000000101511124,002.38242791,000000000241842935,03.6928%
3702,TW0003702007,大聯大          ,WPG HOLDINGS CO.  LTD.,29,002364,0037.05,000001679056,000000000062209025,000.30123236,000000000018739371,00.2861%
3711,TW0003711008,日月光投控      ,ASE TECHNOLOGY HOLDING CO. LTD.,24,023736,0060.30,000004320148,000000000260504924,000.78521309,000000000204551877,03.1234%
4904,TW0004904008,遠傳            ,FAR EASTONE TELECOMMUNICATIONS CO.  LTD.,27,006385,0073.70,000003258500,000000000240151450,000.24835114,000000000059641886,00.9107%
4938,TW0004938006,和碩            ,PEGATRON CORPORATION,25,006740,0051.00,000002612746,000000000133250046,000.40681331,000000000054207892,00.8277%
5880,TW0005880009,合庫金          ,TAIWAN COOPERATIVE FINANCIAL HOLDING COMPANY LIMITED,17,008678,0017.90,000012568784,000000000224981234,000.40292006,000000000090649452,01.3841%
6005,TW0006005002,群益證          ,CAPITAL SECURITIES CORP.,17,001850,0009.30,000002320908,000000000021584444,000.77890347,000000000016812199,00.2567%
6116,TW0006116007,彩晶            ,HANNSTAR DISPLAY CORP.,26,002439,0007.15,000003233933,000000000023122621,000.84267041,000000000019484748,00.2975%
6239,TW0006239007,力成            ,POWERTECH TECHNOLOGY INC.,24,007745,0069.50,000000779146,000000000054150647,001.17776902,000000000063776954,00.9738%
6285,TW0006285000,啟碁            ,WISTRON NE WEB CORPORATION.,27,002360,0073.40,000000374080,000000000027457472,000.90371172,000000000024813639,00.3789%
6605,TW0006605009,帝寶            ,DEPO AUTO PARTS INDUSTRIAL  CO.  LTD.,05,002380,0069.60,000000165816,000000000011540794,001.81457130,000000000020941593,00.3198%
8110,TW0008110008,華東            ,WALTON ADVANCED ENGINEERING  INC.,24,001986,0010.40,000000482770,000000000005020808,002.85677789,000000000014343333,00.2190%
8131,TW0008131004,福懋科          ,FORMOSA ADVANCED TECHNOLOGIES CO.  LTD.,24,001930,0032.05,000000442222,000000000014173215,001.15611226,000000000016385828,00.2502%
8150,TW0008150004,南茂            ,CHIPMOS TECHNOLOGIES INC,24,003587,0026.20,000000752898,000000000019725928,001.82781921,000000000036055429,00.5505%
9904,TW0009904003,寶成            ,POU CHEN CORPORATION,20,003758,0032.60,000002946787,000000000096065256,000.35974253,000000000034558758,00.5277%
9910,TW0009910000,豐泰            ,FENG TAY ENTERPRISES CO.  LTD.,20,002548,0192.50,000000667940,000000000128578450,000.24932770,000000000032058169,00.4895%
9921,TW0009921007,巨大            ,GIANT MANUFACTURING CO.  LTD.,20,002044,0146.00,000000375064,000000000054759344,000.42576067,000000000023314375,00.3560%
9933,TW0009933002,中鼎            ,CTCI CORPORATION,20,002704,0043.90,000000763273,000000000033507685,000.71496227,000000000023956730,00.3658%
9940,TW0009940007,信義            ,SINYI REALTY INC.,20,003972,0030.00,000000736846,000000000022105380,001.59956763,000000000035359050,00.5399%
